CRASH_DAY_NUM,CRASH_DAY,CRASH_HOUR,CRASH_YEAR,FATAL,NONE,NONINCAPACITATING_INJURY,NO_INDICATION_OF_INJURY,REFUSED_EMS,REPORTED_NOT_EVIDENT,INCAPACITATING_INJURY
2,Tue,7,2020,0,0,57,955,0,38,9
2,Tue,7,2019,0,0,107,2269,0,63,17
2,Tue,7,2018,0,0,106,2143,0,84,19
2,Tue,8,2022,0,0,48,1160,0,41,11
2,Tue,8,2021,0,0,67,1646,0,43,12
2,Tue,8,2020,2,0,77,1219,0,28,12
2,Tue,8,2019,1,0,120,2752,0,81,24
2,Tue,8,2018,0,0,126,2880,0,86,23
2,Tue,9,2022,0,0,49,761,0,35,6
2,Tue,9,2021,2,0,70,1376,0,40,6
2,Tue,9,2020,0,0,40,953,0,27,13
2,Tue,9,2019,1,0,78,1902,0,40,19
2,Tue,9,2018,0,0,95,1993,0,46,17
2,Tue,10,2022,0,0,41,705,0,17,12
2,Tue,10,2021,0,0,56,1222,0,40,9
2,Tue,10,2020,0,0,80,1068,0,26,17
2,Tue,10,2019,3,0,57,1688,0,53,22
2,Tue,10,2018,0,0,69,1511,0,45,23
2,Tue,11,2022,0,0,39,712,0,15,5
2,Tue,11,2021,2,0,117,1509,0,47,17
2,Tue,11,2020,0,0,35,1359,0,63,21
2,Tue,11,2019,1,0,83,1774,0,46,21
2,Tue,11,2018,0,0,85,1648,0,48,20
2,Tue,12,2022,0,0,42,942,0,29,9
2,Tue,12,2021,0,0,72,1675,0,45,12
2,Tue,12,2020,1,0,97,1582,0,45,8
2,Tue,12,2019,2,0,100,1900,0,65,22
2,Tue,12,2018,1,0,102,1926,0,53,18
2,Tue,13,2022,0,0,52,980,0,36,6
2,Tue,13,2021,0,0,96,1865,0,66,13
2,Tue,13,2020,0,0,90,1595,0,58,12
2,Tue,13,2019,0,0,99,1905,0,72,16
2,Tue,13,2018,1,0,113,1833,0,67,14
2,Tue,14,2022,4,0,50,1028,0,27,6
2,Tue,14,2021,0,0,115,2010,0,60,24
2,Tue,14,2020,0,0,120,1866,0,54,17
2,Tue,14,2019,0,0,105,2262,0,68,13
2,Tue,14,2018,0,0,98,2262,0,64,11
2,Tue,15,2022,0,0,77,1514,0,46,12
2,Tue,15,2021,0,0,122,2407,0,66,20
2,Tue,15,2020,1,0,107,2173,0,58,25
2,Tue,15,2019,1,0,137,2945,0,75,14
2,Tue,15,2018,1,0,136,2938,0,85,21
2,Tue,16,2022,1,0,65,1441,0,43,14
2,Tue,16,2021,0,0,147,2777,0,87,24
2,Tue,16,2020,2,0,129,2195,0,74,11
2,Tue,16,2019,0,0,157,3062,0,90,19
2,Tue,16,2018,2,0,151,3060,0,89,19
2,Tue,17,2022,0,0,71,1361,0,45,21
2,Tue,17,2021,1,0,165,2449,0,75,26
2,Tue,17,2020,0,0,106,2233,0,77,17
2,Tue,17,2019,0,0,142,3181,0,93,29
2,Tue,17,2018,0,0,138,3098,0,93,19
2,Tue,18,2022,0,0,39,1002,0,40,8
2,Tue,18,2021,1,0,114,1887,0,72,27
2,Tue,18,2020,1,0,136,1813,0,63,17
2,Tue,18,2019,0,0,99,2378,0,57,24
2,Tue,18,2018,1,0,116,2420,0,64,13
2,Tue,19,2022,0,0,39,634,0,21,4
2,Tue,19,2021,1,0,85,1350,0,44,15
2,Tue,19,2020,4,0,95,1152,0,53,13
2,Tue,19,2019,0,0,82,1500,0,44,14
2,Tue,19,2018,3,0,76,1444,0,34,14
2,Tue,20,2022,3,0,32,468,0,21,11
2,Tue,20,2021,3,0,115,1046,0,31,10
2,Tue,20,2020,0,0,64,899,0,25,22
2,Tue,20,2019,1,0,75,1070,0,49,12
2,Tue,20,2018,0,0,62,1013,0,22,13
2,Tue,21,2022,0,0,49,413,0,12,8
2,Tue,21,2021,0,0,69,898,0,29,16
2,Tue,21,2020,0,0,53,760,0,35,17
2,Tue,21,2019,1,0,46,908,0,21,8
2,Tue,21,2018,1,0,74,872,0,40,15
2,Tue,22,2022,0,0,33,405,0,11,6
2,Tue,22,2021,0,0,82,767,0,28,14
2,Tue,22,2020,1,0,44,597,0,18,11
2,Tue,22,2019,0,0,64,771,0,35,14
2,Tue,22,2018,0,0,54,707,0,21,13
2,Tue,23,2022,0,0,19,251,0,5,4
2,Tue,23,2021,1,0,58,512,0,28,15
2,Tue,23,2020,0,0,47,466,0,10,9
2,Tue,23,2019,0,0,41,541,0,20,6
2,Tue,23,2018,1,0,37,585,0,23,9
3,Wed,0,2022,0,0,19,213,0,8,3
3,Wed,0,2021,5,0,60,430,0,9,8
3,Wed,0,2020,0,0,37,513,0,9,9
3,Wed,0,2019,0,0,16,347,0,14,12
3,Wed,0,2018,1,0,42,343,0,13,6
3,Wed,1,2022,0,0,12,160,0,9,2
3,Wed,1,2021,2,0,26,310,0,10,10
3,Wed,1,2020,0,0,25,296,0,4,5
3,Wed,1,2019,1,0,23,241,0,8,5
3,Wed,1,2018,0,0,13,290,0,5,0
3,Wed,2,2022,0,0,11,102,0,1,1
3,Wed,2,2021,0,0,22,219,0,6,6
3,Wed,2,2020,1,0,13,216,0,13,1
3,Wed,2,2019,1,0,22,203,0,8,2
3,Wed,2,2018,0,0,31,210,0,6,1
3,Wed,3,2022,1,0,7,90,0,2,4
3,Wed,3,2021,1,0,10,151,0,5,3
3,Wed,3,2020,4,0,8,172,0,9,6
3,Wed,3,2019,0,0,5,127,0,11,3
3,Wed,3,2018,3,0,14,142,0,0,2
3,Wed,4,2022,1,0,19,121,0,3,0
3,Wed,4,2021,1,0,21,170,0,5,1
3,Wed,4,2020,1,0,16,190,0,5,3
3,Wed,4,2019,0,0,15,154,0,4,5
3,Wed,4,2018,1,0,21,145,0,6,2
3,Wed,5,2022,1,0,12,149,0,1,1
3,Wed,5,2021,0,0,20,284,0,7,2
3,Wed,5,2020,0,0,20,240,0,6,5
3,Wed,5,2019,2,0,34,366,0,14,4
3,Wed,5,2018,0,0,21,352,0,10,2
3,Wed,6,2022,1,0,20,291,0,12,3
3,Wed,6,2021,0,0,42,537,0,21,8
3,Wed,6,2020,1,0,27,464,0,21,8
3,Wed,6,2019,1,0,44,829,0,29,11
3,Wed,6,2018,0,0,77,915,0,26,12
3,Wed,7,2022,1,0,32,905,0,27,6
3,Wed,7,2021,0,0,62,1244,0,40,12
3,Wed,7,2020,1,0,66,914,0,37,8
3,Wed,7,2019,0,0,86,2107,0,46,17
3,Wed,7,2018,0,0,115,2433,0,64,15
3,Wed,8,2022,0,0,55,1153,0,24,10
3,Wed,8,2021,0,0,83,1497,0,45,16
3,Wed,8,2020,0,0,64,1235,0,39,24
3,Wed,8,2019,0,0,115,2596,0,97,18
3,Wed,8,2018,0,0,128,2601,0,95,23
3,Wed,9,2022,0,0,38,763,0,36,4
3,Wed,9,2021,4,0,91,1346,0,38,15
3,Wed,9,2020,0,0,55,1024,0,41,12
